text,correct_alternative,incorrect_alternative1,incorrect_alternative2,creator_tw_handle
Qual o nome da condição em que uma pessoa tem olhos de cores diferentes?,Heterocromia,Monocromia,Transcomia,
"Quantos dedos um gato tem, no total?",18,16,20,
"O que significa ""Delivery""?",Entrega,Deliberar,Pedido,
Quantos estados há no Brasil? (Sem o DF),26,24,25,
O século XIX iniciou-se em qual ano?,1801,1901,1900,
Qual a capital do Mato Grosso?,Cuiabá,Campo Grande,Rio Branco,
Em que ano nasceu Elza Soares?,1930,1931,1932,
Quais são o menor e o maior país do mundo?,Vaticano e Rússia,Mônaco e Estados Unidos,Japão e China,
Quantas Copas do Mundo a França já ganhou?,2,3,4,
Em qual destes países o português é língua oficial?,Macau,Camarões,Líbano,
Quantos apresentadores o BBB já teve?,4,2,3,
A qual banda o cantor Freddie Mercury integrou?,Queen,Duran Duran,Beatles,
Qual destes animais não é um aracnídeo?,Centopeia,Carrapato,Escorpião,
Quantas patas uma formiga possui?,6,4,8,
"Na mitologia grega, Zeus era filho de...?",Cronos,Apolo,Poseidon,
Em qual país fica Machu Picchu?,Peru,Chile,Argentina,
Qual o nome do maior osso do corpo humano?,Fêmur,Úmero,Rádio,
O azeite de oliva é feito de quê?,Azeitona,Soja,Oliveira,
Qual foi a primeira capital do Brasil?,Salvador,Brasília,Rio de Janeiro,
Qual é o maior oceano do planeta Terra?,Pacífico,Atlântico,Índico,
Em que ano Cristóvao Colombo chegou ao continente Americano?,1492,1496,1498,
Qual é o maior planeta do sistema solar?,Júpiter,Saturno,Vênus,
Qual é o rio mais extenso do mundo?,Rio Nilo,Rio Amazonas,Rio Congo,
Uma refeição vespertina ocorre em qual período do dia?,Tarde,Manhã,Noite,
A bile é produzida por qual órgão do corpo humano?,Fígado,Estômago,Tireoide,
Sandy e Júnior são filhos de qual cantor sertanejo?,Xororó,Leonardo,César Menotti,
Qual é o nome da substância responsável pela cor verde das plantas?,Clorofila,Bilirrubina,Água,
Com qual estado brasileiro o Uruguai faz fronteira?,Rio Grande do Sul,Santa Catarina,Paraná,
Como se chama a passagem da água do estado sólido para o gasoso?,Sublimação,Fusão,Solidificação,
Qual elemento neutraliza o poder do Superman?,Kryptonita,Titânio,Urânio,
Qual é a montanha mais alta do mundo?,Monte Everest,Mauna Kea,Pico da Neblina,
A que temperatura a água ferve?,100ºC,0ºC,180ºC,
O corpo humano possui quantos ossos?,206,126,196,
Qual o planeta mais próximo do Sol?,Mercúrio,Marte,Terra,
Qual o monumento famoso pela sua inclinação?,Torre de Pisa,Torre Eiffel,Estátua da Liberdade,
Quem pintou Mona Lisa?,Leonardo DaVinci,Van Gogh,Pablo Picasso,
Qual é o nome popular do Cloreto de Sódio?,Sal de cozinha,Vinagre,Água,
Em qual país foi construído o Muro de Berlim?,Alemanha,China,Polônia,
Hipismo é um esporte em que se utiliza...?,Cavalos,Arco e Flecha,Bumerangue,
Numerais cardinais são...,"1, 2, 3","Primeiro, segundo, terceiro","I, II, III",
Em que ano foi demolido o Muro de Berlin?,1991,1990,1992,
Qual destes atores interpretou Sheldon Cooper na televisão?,Jim Parsons,Ed Helms,Sacha Baron Cohen,
A sitcom Friends possui quantas temporadas?,10,11,12,
Qual foi o primeiro filme animado produzido pela Pixar?,Toy Story,Vida de Inseto,Monstros S.A.,
Em que ano a rede social Orkut foi extinta?,2014,2013,2010,
A fabricante de brinquedos LEGO tem origem em qual país?,Dinamarca,Estados Unidos,Alemanha,
"""Ácido desoxirribonucleico"" também pode ser chamado de...?",DNA,Vinagre,Carboidrato,
Qual é o símbolo do ouro na tabela periódica?,AU,OU,GO,
"Em O Senhor dos Aneis, quantos aneis foram dados aos Reis-Elfos?",3,7,9,
"Quem é o autor do livro ""Sapiens: Uma breve história da humanidade""?",Yuval Noah Harari,Jared Diamond,Neil deGrasse Tyson,
Ryu e Ken são personagens de qual jogo?,Street Fighter,Mortal Kombat,Tekken,
Em qual país nasceu Pablo Picasso?,Espanha,França,Portugal,
Beirute é a capital de qual país?,Líbano,Síria,Israel,
"Quantos anos durou a Guerra das Rosas, iniciada em 1455?",32,20,18,
Qual dessas músicas não foi gravada pelos Beatles?,A Matter of Feeling,All You Need Is Love,Oh! Darling,
Morten Harket é o vocalista de qual banda?,A-ha,The Police,Foreigner,
As olimpíadas de inverno ocorrem a cada quantos anos?,4,2,6,
"Na física, Cinemática é o estudo do quê?",Movimento,Luz,Calor,
Qual é o endereço do detetive Sherlock Holmes?,221B Baker Street,221A Baker Street,221C Baker Street,
"Além de Steve Jobs, quem mais fundou a empresa Apple?",Steve Wozniak,Larry Page,Satya Nadella,
